Index,Title,Artist,Top Genre,Year,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity
868,The Man Who Sold The World,Nirvana,alternative rock,1994,115,75,48,-9,26,42,261,43,8,73
869,Basket Case,Green Day,modern rock,1994,85,94,44,-3,9,78,182,0,6,79
870,Where Did You Sleep Last Night,Nirvana,alternative rock,1994,109,59,57,-8,69,36,306,67,6,68
871,High Hopes,Pink Floyd,album rock,1994,75,41,52,-13,35,28,511,20,3,59
872,Kiss from a Rose,Seal,british soul,1994,132,53,58,-7,31,22,288,68,3,72
873,Always,Bon Jovi,glam metal,1994,141,66,38,-6,8,33,353,12,3,76
874,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,150,63,34,-7,7,35,241,16,4,95
875,I Alone,Live,alternative metal,1994,90,82,40,-7,37,10,231,0,5,62
876,Sabotage,Beastie Boys,alternative rock,1994,168,94,32,-7,10,54,178,3,10,71
877,Smooth Operator - Single Version,Sade,british soul,1994,119,58,73,-7,3,96,259,24,3,66
878,Glory Box,Portishead,art pop,1994,120,43,51,-10,6,21,309,18,4,67
879,Dromen Zijn Bedrog,Marco Borsato,dutch cabaret,1994,132,86,61,-9,26,64,243,3,4,56
880,Ode To My Family,The Cranberries,irish rock,1994,94,45,36,-10,28,14,271,6,2,69
881,No Good (Start the Dance) [Remastered],The Prodigy,big beat,1994,145,99,64,-7,16,17,378,1,5,56
882,When I Come Around,Green Day,modern rock,1994,98,91,53,-4,23,81,178,2,3,75
883,Live Forever - Remastered,Oasis,britpop,1994,84,79,10,-4,36,18,277,0,4,55
884,Mmm Mmm Mmm Mmm,Crash Test Dummies,canadian rock,1994,93,57,58,-8,8,37,235,25,2,57
885,Annabel,Hans De Booij,dutch cabaret,1994,174,52,81,-14,10,59,213,6,30,45
886,Polly,Nirvana,alternative rock,1994,115,39,62,-12,91,44,196,68,4,57
887,Grace,Jeff Buckley,alternative rock,1994,128,87,55,-4,22,19,322,3,4,59
888,Stil In Mij,Van Dik Hout,dutch cabaret,1995,99,65,59,-9,13,39,245,22,3,58
889,Wonderwall - Remastered,Oasis,britpop,1995,175,87,37,-5,23,48,259,0,4,71
890,Don't Look Back In Anger - Remastered,Oasis,britpop,1995,163,92,33,-4,13,34,290,6,6,63
891,Streets of Philadelphia - Single Edit,Bruce Springsteen,classic rock,1995,94,29,74,-13,9,44,195,29,3,70
892,Earth Song,Michael Jackson,pop,1995,138,44,50,-8,9,14,406,48,3,63
893,Street Spirit (Fade Out),Radiohead,alternative rock,1995,138,45,49,-12,18,13,254,31,3,62
894,Man in the Mirror,Michael Jackson,pop,1995,100,80,79,-6,11,27,319,43,4,64
895,Aan De Kust,BLØF,dutch pop,1995,78,31,51,-10,13,22,223,93,5,47
896,Beat It,Michael Jackson,pop,1995,139,80,76,-6,17,91,258,3,4,60
897,Margherita,Marco Borsato,dutch cabaret,1995,119,25,54,-12,14,14,250,52,4,52
898,Vivo per lei,Andrea Bocelli,adult standards,1995,136,46,53,-6,18,29,266,70,3,64
899,Circle Of Life,Elton John,glam rock,1995,160,61,28,-8,11,16,290,28,4,54
900,They Don't Care About Us,Michael Jackson,pop,1995,90,91,86,-6,32,73,284,21,13,69
901,Champagne Supernova - Remastered,Oasis,britpop,1995,150,80,29,NaN,36,12,448,47,4,63
902,You Do Something To Me,Paul Weller,britpop,1995,73,34,44,-13,11,30,219,48,3,58
903,Lemon Tree,Fools Garden,german pop rock,1995,143,48,66,-9,12,64,191,64,4,73
904,Weak,Skunk Anansie,british alternative rock,1995,94,77,53,-6,26,45,212,1,3,24
905,Ik Leef Niet Meer Voor Jou,Marco Borsato,dutch cabaret,1995,150,82,55,-9,4,57,217,2,5,60
906,Gangsta's Paradise,Coolio,g funk,1995,80,51,65,-10,40,39,241,7,6,80
907,Con Te Partirò,Andrea Bocelli,adult standards,1995,135,37,24,-8,9,30,251,84,3,66
908,Don't Speak,No Doubt,alternative rock,1995,76,71,52,-7,18,54,264,25,4,67
909,Heaven For Everyone - Remastered 2011,Queen,glam rock,1995,110,43,60,-10,17,27,336,29,3,49
910,Fake Plastic Trees,Radiohead,alternative rock,1995,74,23,45,-13,20,13,291,17,3,70
911,Too Much Love Will Kill You - 2011 Remaster,Queen,glam rock,1995,73,40,41,-8,16,21,NaN,58,3,49
912,1979 - Remastered 2012,The Smashing Pumpkins,alternative metal,1995,127,79,77,-10,5,96,266,2,3,74
913,Avalon,Roxy Music,album rock,1995,137,49,76,-11,21,88,257,67,3,46
914,You Don't Fool Me - Remastered 2011,Queen,glam rock,1995,122,83,59,-6,38,58,325,10,4,45
915,Can You Feel The Love Tonight,Elton John,glam rock,1995,123,36,30,-9,10,15,240,81,3,58
916,Dear Mama,2Pac,g funk,1995,84,54,77,-7,13,32,280,37,10,72
917,Diane,Therapy?,alternative metal,1995,124,NaN,42,-12,25,4,300,68,4,44
918,Stranger in Moscow,Michael Jackson,pop,1995,130,47,80,-9,32,59,344,25,4,58
919,An American Trilogy,Elvis Presley,adult standards,1995,84,13,21,-14,96,17,272,73,3,31
920,Secret Garden,Bruce Springsteen,classic rock,1995,87,33,52,-14,12,12,267,NaN,3,61
921,"Tonight, Tonight - Remastered 2012",The Smashing Pumpkins,alternative metal,1995,149,67,29,-9,24,22,255,0,4,68
922,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,alternative metal,1995,122,72,40,-9,5,48,258,0,6,71
923,A Winter's Tale - 2011 Remaster,Queen,glam rock,1995,54,56,36,-6,31,14,230,18,3,29
924,Gold,Prince,funk,1995,90,86,53,-3,13,44,443,0,3,46
925,High And Dry,Radiohead,alternative rock,1995,88,38,42,-12,9,35,257,7,3,72
926,Fairground,Simply Red,british soul,1995,123,73,72,-6,8,62,333,21,4,56
927,Avond,Boudewijn de Groot,dutch indie,1996,98,37,48,-15,12,17,277,66,4,40
928,She - Tous les visages de l’amour,Charles Aznavour,chanson,1996,132,39,35,-10,15,36,153,22,3,60
929,Insomnia,Faithless,big beat,1996,127,58,79,-10,17,26,527,18,4,55
930,Jesus to a Child,George Michael,dance rock,1996,174,42,53,-12,8,19,411,31,3,62
931,Down Under,Men At Work,album rock,1996,107,79,75,-5,5,89,221,5,3,74
932,Jump,Van Halen,album rock,1996,130,82,55,-7,6,77,240,7,3,57
933,Het Is Een Nacht... (Levensecht),Guus Meeuwis,dutch pop,1996,138,62,63,-7,16,50,225,54,3,58
934,Where the Wild Roses Grow - 2011 - Remaster,Nick Cave & The Bad Seeds,art rock,1996,155,47,34,-11,10,16,237,38,3,59
935,Beautiful Noise,Neil Diamond,adult standards,1996,127,35,53,-15,15,73,193,12,3,57
936,Yesterday When I Was Young,Charles Aznavour,chanson,1996,68,51,33,-9,37,29,215,40,6,53
937,De Waarheid,Marco Borsato,dutch cabaret,1996,61,36,34,-11,33,9,312,11,3,50
938,Wereld Zonder Jou,Marco Borsato,dutch cabaret,1996,121,36,57,-10,17,9,236,51,3,55
939,Wannabe,Spice Girls,dance pop,1996,110,86,77,-6,16,89,173,10,3,80
940,Hedonism (Just Because You Feel Good),Skunk Anansie,british alternative rock,1996,81,54,56,-9,16,31,207,9,3,32
941,Killing Me Softly With His Song,Fugees,east coast hip hop,1996,92,29,77,-17,57,51,299,3,14,74
942,You Have Been Loved,George Michael,dance rock,1996,137,24,61,-16,11,16,331,24,3,53
943,Children,Robert Miles,eurodance,1996,137,76,60,-11,6,39,243,0,3,67
944,No Diggity,Blackstreet,boy band,1996,89,65,87,-5,28,67,305,30,29,76
945,"Casser la voix - Live ""Si Ce Soir""",Patrick Bruel,chanson,1996,135,72,27,-10,84,34,455,2,6,35
946,Beautiful Goodbye,Amanda Marshall,canadian pop,1996,99,29,49,-8,18,4,317,65,3,37
947,Ain't Nobody,Chaka Khan,dance pop,1996,104,88,80,-7,14,82,281,19,4,70
948,A Long December,Counting Crows,alternative rock,1996,71,58,39,-7,22,38,295,47,3,63
949,Novocaine For The Soul,Eels,alternative rock,1996,169,72,41,-8,8,31,189,0,4,54
950,Per Spoor (Kedeng Kedeng),Guus Meeuwis,dutch pop,1996,126,88,58,-7,15,79,253,20,5,49
951,Bitter Sweet Symphony,The Verve,alternative rock,1997,171,92,36,-6,41,52,357,3,5,78
952,Zeg Me Dat Het Niet Zo Is,Frank Boeijen,dutch cabaret,1997,70,13,35,-14,17,29,161,85,4,48
953,Du hast,Rammstein,alternative metal,1997,125,92,64,-6,33,72,234,0,4,67
954,"Take Me Home, Country Roads",John Denver,adult standards,1997,164,43,26,-13,19,55,198,55,3,77
955,Karma Police,Radiohead,alternative rock,1997,75,51,36,-9,17,32,264,6,3,74
956,Everlong,Foo Fighters,alternative metal,1997,158,88,41,-6,8,36,251,0,4,77
957,Op Fietse,Skik,dutch indie,1997,104,86,53,-5,24,86,291,19,3,46
958,Paranoid Android,Radiohead,alternative rock,1997,164,85,25,-7,5,19,387,4,6,67
959,Lopen Tot De Zon Komt,Acda en de Munnik,dutch cabaret,1997,100,33,43,-9,14,36,206,89,3,49
960,Into My Arms - 2011 Remastered Version,Nick Cave & The Bad Seeds,art rock,1997,94,9,48,-18,11,22,256,89,4,65
961,Engel,Rammstein,alternative metal,1997,96,66,64,-6,30,33,264,1,3,60
962,k Heb Je Lief,Paul de Leeuw,dutch cabaret,1997,136,37,53,-12,9,22,284,73,4,54
963,Chan Chan,Buena Vista Social Club,latin jazz,1997,166,50,40,-12,10,68,257,83,4,68
964,Firestarter,The Prodigy,big beat,1997,142,95,53,-5,16,38,280,0,8,64
965,The Unforgiven II,Metallica,alternative metal,1997,133,88,49,-5,27,25,396,0,4,55
966,Smack My Bitch Up,The Prodigy,big beat,1997,136,99,61,-5,11,23,343,0,15,65
967,You'll Never Walk Alone,Gerry & The Pacemakers,adult standards,1997,113,37,47,-5,19,22,160,25,3,55
968,Good Riddance (Time of Your Life),Green Day,modern rock,1997,95,43,48,-8,16,65,153,18,3,75
969,Candle In The Wind 1997,Elton John,glam rock,1997,126,31,45,-8,17,37,250,98,3,53
970,No Surprises,Radiohead,alternative rock,1997,76,39,26,-11,11,12,229,6,3,71
971,Als Het Vuur Gedoofd Is,Acda en de Munnik,dutch cabaret,1997,92,64,56,-8,14,61,234,49,3,42
972,Little Green Bag,George Baker Selection,classic uk pop,1997,103,61,71,-14,8,88,195,4,3,44
973,Beds Are Burning - Remastered,Midnight Oil,australian rock,1997,119,50,75,-9,9,34,258,1,4,63
974,"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,canadian pop,1997,99,28,43,-12,12,4,280,73,3,75
975,t Dondert En 't Bliksemt,Guus Meeuwis,dutch pop,1997,121,95,70,-4,9,89,192,64,7,50
976,Breathe,The Prodigy,big beat,1997,130,82,68,-6,4,32,335,1,5,66
977,The Memory Remains,Metallica,alternative metal,1997,144,90,43,-4,21,60,279,0,4,51
978,N'oubliez Jamais,Joe Cocker,album rock,1997,87,49,59,-8,6,35,283,14,2,35
979,Tell Him,Barbra Streisand,adult standards,1997,76,40,34,-9,11,7,291,76,4,47
980,Mooi Liedje,Acda en de Munnik,dutch cabaret,1997,177,21,49,-11,10,22,179,96,4,42
981,Can't Stand Losing You,The Police,album rock,1997,142,63,76,-10,4,93,181,35,31,45
982,Songbird,Eva Cassidy,adult standards,1997,153,23,38,-12,13,15,225,85,3,61
983,Hier Komt De Storm,Frank Boeijen Groep,dutch cabaret,1997,89,77,41,-8,24,43,388,51,4,31
984,The Drugs Don't Work,The Verve,alternative rock,1997,77,52,44,-9,15,18,305,18,3,64
985,Around the World,Daft Punk,electro,1997,121,80,96,-5,9,84,430,0,15,70
986,Somebody to Love,George Michael,dance rock,1998,110,86,33,-7,97,38,319,5,5,57
987,Nobody's Wife,Anouk,dutch indie,1998,98,91,51,-7,17,46,206,1,4,33
988,Als Ze Er Niet Is,De Dijk,dutch indie,1998,166,49,38,-12,11,21,211,24,6,50
989,Careless Whisper,George Michael,dance rock,1998,153,63,57,-9,27,79,300,13,4,76
990,Whiskey In The Jar,Metallica,alternative metal,1998,133,97,51,-4,19,53,305,0,4,61
991,Don't Let the Sun Go Down on Me,George Michael,dance rock,1998,135,55,44,-8,54,26,347,49,3,66
992,The Whole of the Moon,The Waterboys,art rock,1998,106,85,54,-6,60,60,299,7,3,59
993,Liefs Uit Londen,BLØF,dutch pop,1998,77,13,44,-19,18,13,239,81,4,51
994,Narcotic - Long Version,Liquido,german alternative rock,1998,102,59,59,-7,8,36,278,0,3,42
995,New Year's Day,U2,irish rock,1998,133,80,52,-6,61,63,257,0,3,58
996,Cowboys and Angels,George Michael,dance rock,1998,128,51,57,-13,13,28,435,4,3,43
997,Zelfs Je Naam Is Mooi,Henk Westbroek,alternative pop rock,1998,94,46,56,-7,21,45,270,38,2,49
998,Toen Ik Je Zag - Single Version,Hero,pop,1998,81,20,37,-14,30,14,205,71,4,47
999,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,album rock,1998,121,66,38,-5,25,14,299,17,3,76
1000,Fields Of Gold,Eva Cassidy,adult standards,1998,80,9,46,-15,8,31,282,97,3,62
1001,A Different Corner,George Michael,dance rock,1998,99,29,27,-10,11,15,244,86,3,58
1002,Teardrop,Massive Attack,big beat,1998,77,42,62,-9,14,22,331,2,4,69
1003,Faith,George Michael,dance rock,1998,96,50,92,-10,7,56,194,1,10,46
1004,Father Figure,George Michael,dance rock,1998,102,39,48,-11,8,25,340,23,3,51
1005,Niet Of Nooit Geweest,Acda en de Munnik,dutch cabaret,1998,122,51,48,-10,17,51,242,38,4,54
1006,Is Dit Nu Later,Stef Bos,christelijk,1998,134,51,41,-9,69,38,257,52,4,39
1007,De Bestemming,Marco Borsato,dutch cabaret,1998,109,50,27,-9,10,13,266,28,3,50
1008,Freak On a Leash,Korn,alternative metal,1998,103,90,35,-6,39,53,256,0,5,73
1009,Onderuit,De Dijk,dutch indie,1998,118,57,68,-9,9,65,313,10,3,35
1010,Non non rien n'a changé,Les Poppys,alternative pop rock,1998,84,48,50,-8,20,47,190,48,9,50
1011,I'm Not so Tough,Ilse DeLange,dutch americana,1998,117,58,73,-8,10,55,268,2,3,40
1012,Killer / Papa Was a Rollin' Stone,George Michael,dance rock,1998,122,98,71,-7,76,58,255,3,5,51
1013,I Knew You Were Waiting (For Me),George Michael,dance rock,1998,108,84,72,-5,24,68,238,26,5,63
1014,If You Tolerate This Your Children Will Be Next,Manic Street Preachers,alternative rock,1998,96,80,22,-6,9,26,291,0,4,37
1015,Praying for Time,George Michael,dance rock,1998,128,80,57,-8,9,21,281,2,3,45
1016,Hilversum 3,Herman van Veen,dutch pop,1998,91,22,69,-15,11,47,233,92,6,39
1017,The Reflex,Duran Duran,dance rock,1998,127,90,56,-6,57,80,267,12,10,50
1018,World of Hurt,Ilse DeLange,dutch americana,1998,99,47,87,-10,13,64,234,62,4,40
1019,As,George Michael,dance rock,1998,93,74,67,-8,20,77,282,14,19,61
1020,Pure Morning,Placebo,alternative rock,1998,81,90,39,-7,11,20,255,4,7,60
1021,She's The One,Robbie Williams,dance pop,1998,167,61,24,-8,22,33,258,66,3,68
1022,Ik Heb Je Lief,Stef Bos,christelijk,1998,131,48,30,-12,73,24,231,77,6,44
1023,Pretty Fly (For A White Guy),The Offspring,alternative metal,1998,143,90,72,-4,7,96,189,9,10,72
1024,I Can't Make You Love Me,George Michael,dance rock,1998,116,19,56,-13,11,12,321,73,3,53
1025,Praise You,Fatboy Slim,big beat,1998,110,89,60,-9,17,53,323,10,5,44
1026,Sacrifice,Anouk,dutch indie,1998,136,17,54,-13,9,24,238,74,5,11
1027,Toveren,Herman van Veen,dutch pop,1998,145,28,81,-15,21,81,206,58,3,44
1028,Kissing a Fool,George Michael,dance rock,1998,117,27,39,-14,11,17,275,17,3,56
1029,Hijo de la Luna,Mecano,latin,1998,179,54,45,-7,6,61,266,68,3,62
1030,"Slaap Zacht , Elisabeth",Acda en de Munnik,dutch cabaret,1998,174,38,44,-11,10,19,263,36,3,37
1031,Angels,Robbie Williams,dance pop,1999,150,59,44,-7,10,25,266,15,3,50
1032,Tears in Heaven,Eric Clapton,album rock,1999,154,24,50,-12,13,31,272,84,3,61
1033,Californication,Red Hot Chili Peppers,alternative rock,1999,96,77,59,-3,13,33,330,0,3,81
1034,Harder Dan Ik Hebben Kan,BLØF,dutch pop,1999,90,40,62,-10,15,35,254,9,2,57
1035,Learn to Fly,Foo Fighters,alternative metal,1999,136,92,47,-4,26,54,235,0,4,74
1036,Total Eclipse of the Heart,Bonnie Tyler,europop,1999,130,66,44,-8,10,18,270,20,7,75
1037,Scar Tissue,Red Hot Chili Peppers,alternative rock,1999,89,72,60,-5,11,55,216,8,3,77
1038,Otherside,Red Hot Chili Peppers,alternative rock,1999,123,80,46,-3,8,51,255,0,6,78
1039,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",Phil Collins,mellow gold,1999,97,74,57,-6,9,66,258,6,3,62
1040,Let Me Entertain You,Robbie Williams,dance pop,1999,125,96,46,-5,9,37,261,0,7,44
1041,Road Trippin',Red Hot Chili Peppers,alternative rock,1999,204,47,NaN,-8,12,39,205,31,4,62
1042,Jesus He Knows Me,Genesis,album rock,1999,95,87,60,-7,8,65,256,57,4,18
1043,The Family Tree,Venice,alternative rock,1999,127,10,34,-16,10,26,205,81,3,41
1044,Porcelain,Moby,downtempo,1999,95,64,30,-8,25,33,241,0,3,54
1045,Unintended,Muse,modern rock,1999,139,28,49,-12,11,16,237,65,3,61
1046,LA Song,Beth Hart,blues rock,1999,130,62,77,-8,9,51,217,10,4,41
1047,The Dolphin's Cry,Live,alternative metal,1999,150,79,34,-6,14,43,264,0,4,56
1048,All Star,Smash Mouth,alternative rock,1999,104,87,73,-6,9,78,200,4,3,80
1049,Why Does My Heart Feel So Bad?,Moby,downtempo,1999,98,62,60,-7,8,5,265,0,3,45
1050,Il Volo,Zucchero,classic italian pop,1999,150,40,45,-12,6,17,332,3,3,24
1051,The Next Episode,Dr. Dre,g funk,1999,95,91,92,-2,9,31,162,3,27,70
1052,Geen Kind Meer,Karin Bloemen,dutch cabaret,1999,77,17,50,-16,14,25,263,95,3,38
1053,All The Small Things,blink-182,pop punk,1999,149,90,43,-5,61,68,167,1,5,79
1054,Run To The Water,Live,alternative metal,1999,181,85,15,-5,9,NaN,268,0,5,48
1055,Hart Van Mijn Gevoel,De Kast,dutch pop,1999,140,43,44,-10,14,26,269,54,3,44
1056,Smooth (feat. Rob Thomas),Santana,blues rock,1999,116,92,61,-4,30,96,295,16,3,70
1057,My Name Is,Eminem,detroit hip hop,1999,86,68,87,-6,9,82,NaN,4,32,72
1058,Desert Rose,Sting,permanent wave,1999,112,65,58,-8,11,13,286,1,3,52
1059,Hey Boy Hey Girl,The Chemical Brothers,alternative dance,1999,127,92,63,-5,11,36,290,12,5,65
